index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher,units sold,language
512,2008.0,Rodrick Rules,Jeff Kinney,English,Excellent,4.1,91831,popular_fiction,478.4,0.0,2.99,567,"Amazon Digital Services,  Inc.",4320,English
513,2015.0,Why Not Me?,Mindy Kaling,English,Intermediate,3.89,74199,popular_fiction,1598.4,959.04,9.99,568,Random House LLC,4320,English
514,2014.0,Four: A Divergent Collection,Veronica Roth,English,Excellent,4.1,97058,fiction,475.41,0.0,2.99,570,"Amazon Digital Services,  Inc.",4293,English
515,2015.0,Modern Romance,"Aziz Ansari, Eric Klinenberg",English,Intermediate,3.85,94231,popular_fiction,157.41,0.0,0.99,571,"Amazon Digital Services,  Inc.",4293,English
516,2012.0,The One and Only Ivan,"Katherine Applegate, Patricia Castelao",English,Excellent,4.24,85136,popular_fiction,475.41,0.0,2.99,572,"Amazon Digital Services,  Inc.",4293,English
517,1997.0,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,English,Excellent,4.07,45382,popular_fiction,634.41,380.646,3.99,572,Hachette Book Group,4293,English
518,2005.0,Elantris,Brandon Sanderson,English,Excellent,4.17,95950,popular_fiction,314.42,188.652,1.99,574,Simon and Schuster Digital Sales Inc,4266,English
519,2008.0,The Knife of Never Letting Go,Patrick Ness,English,Intermediate,3.96,99638,popular_fiction,1136.02,681.612,7.19,575,"Amazon Digital Services,  Inc.",4266,English
520,1998.0,One Thousand White Women: The Journals of May Dodd,Jim Fergus,English,Intermediate,3.88,84367,popular_fiction,472.42,283.452,2.99,576,"Amazon Digital Services,  Inc.",4266,English
521,2009.0,Handle with Care,Jodi Picoult,English,Intermediate,3.96,90138,fiction,1420.42,852.252,8.99,577,HarperCollins Publishers,4266,English
522,2004.0,Song of Susannah,"Stephen King, Darrel Anderson",English,Intermediate,3.98,84957,popular_fiction,469.43,0.0,2.99,578,"Amazon Digital Services,  Inc.",4239,English
523,2012.0,Reached,Ally Condie,,Intermediate,3.56,109290,popular_fiction,155.43,0.0,0.99,580,"Amazon Digital Services,  Inc.",4239,
524,1981.0,Midnight's Children,Salman Rushdie,English,Intermediate,3.99,75502,nonfiction,1474.23,884.538,9.39,581,"Amazon Digital Services,  Inc.",4239,English
525,2004.0,The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,English,Intermediate,3.86,82535,popular_fiction,154.44,0.0,0.99,585,"Amazon Digital Services,  Inc.",4212,English
526,1999.0,The Testament,John Grisham,,Intermediate,3.83,80377,nonfiction,778.44,467.064,4.99,585,Random House LLC,4212,
527,1930.0,Murder at the Vicarage,Agatha Christie,English,Excellent,4.03,93963,nonfiction,669.24,401.544,4.29,586,HarperCollins Publishers,4212,English
528,1998.0,Among the Hidden ,Margaret Peterson Haddix,English,Intermediate,3.97,94478,popular_fiction,2106.45,1263.87,13.59,589,HarperCollins Publishers,4185,English
529,2007.0,In Defense of Food: An Eater's Manifesto,Michael Pollan,English,Excellent,4.07,80434,popular_fiction,618.45,0.0,3.99,589,"Amazon Digital Services,  Inc.",4185,English
530,1958.0,The Witch of Blackbird Pond,Elizabeth George Speare,English,Intermediate,3.97,105770,nonfiction,1230.46,738.276,7.99,591,Penguin Group (USA) LLC,4158,English
531,2015.0,The Heir,Kiera Cass,English,Intermediate,3.85,111044,popular_fiction,614.46,0.0,3.99,592,"Amazon Digital Services,  Inc.",4158,English
532,2002.0,Shopaholic Ties the Knot,Sophie Kinsella,English,Intermediate,3.77,88139,popular_fiction,460.46,0.0,2.99,594,"Amazon Digital Services,  Inc.",4158,English
533,1859.0,The Woman in White,"Wilkie Collins, Matthew Sweet",English,Intermediate,3.98,93134,popular_fiction,768.46,0.0,4.99,594,"Amazon Digital Services,  Inc.",4158,English
534,2015.0,Career of Evil,"Robert Galbraith, J.K. Rowling",English,Excellent,4.21,66979,popular_fiction,1167.32,700.392,7.58,595,Penguin Group (USA) LLC,4158,English
535,2009.0,The Summer I Turned Pretty,Jenny Han,English,Intermediate,3.96,104730,popular_fiction,610.47,0.0,3.99,596,"Amazon Digital Services,  Inc.",4131,English
536,1998.0,Four to Score ,Janet Evanovich,English,Excellent,4.17,106871,popular_fiction,151.47,90.882,0.99,597,"Amazon Digital Services,  Inc.",4131,English
537,1996.0,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,English,Excellent,4.06,80906,popular_fiction,151.47,0.0,0.99,598,"Amazon Digital Services,  Inc.",4131,English
538,2009.0,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt, Stephen J. Dubner",English,Intermediate,3.95,85006,popular_fiction,1176.57,705.942,7.69,600,Penguin Group (USA) LLC,4131,English
539,2006.0,Darkfever,Karen Marie Moning,English,Excellent,4.14,110812,popular_fiction,1618.8,971.28,10.65,601,Penguin Group (USA) LLC,4104,English
540,1995.0,Stone of Tears,Terry Goodkind,English,Excellent,4.1,83235,popular_fiction,1111.12,666.672,7.31,603,Penguin Group (USA) LLC,4104,English
541,2010.0,Heart of the Matter,Emily Giffin,English,Intermediate,3.73,83461,popular_fiction,910.48,546.288,5.99,603,Simon and Schuster Digital Sales Inc,4104,English
542,1847.0,Vanity Fair: A Novel Without a Hero,"William Makepeace Thackeray, John Carey",English,Intermediate,3.76,91323,popular_fiction,149.49,0.0,0.99,605,"Amazon Digital Services,  Inc.",4077,English
543,1959.0,The Sirens of Titan,Kurt Vonnegut Jr.,English,Excellent,4.16,72493,popular_fiction,151.0,90.6,1.0,607,"Amazon Digital Services,  Inc.",4077,English
544,1992.0,Dolores Claiborne,"Stephen King, Dominique Dill",French,Intermediate,3.81,71053,popular_fiction,661.38,396.828,4.38,608,"Amazon Digital Services,  Inc.",4077,French
545,2016.0,The Nest,Cynthia D'Aprix Sweeney,English,Novice,3.45,79762,nonfiction,1508.49,905.094,9.99,608,"Amazon Digital Services,  Inc.",4077,English
546,2001.0,"Fables, Volume 1: Legends in Exile","Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",English,Intermediate,3.99,101016,popular_fiction,1125.0,675.0,7.5,610,Penguin Group (USA) LLC,4050,English
547,2001.0,Getting Things Done: How To Achieve Stress-free Productivity,David    Allen,English,Intermediate,3.98,75665,popular_fiction,598.5,0.0,3.99,611,"Amazon Digital Services,  Inc.",4050,English
548,1993.0,The Celestine Prophecy,James Redfield,English,Intermediate,3.6,72675,popular_fiction,594.51,356.706,3.99,615,Penguin Group (USA) LLC,4023,English
549,2012.0,My Life Next Door ,Huntley Fitzpatrick,English,Excellent,4.02,102012,popular_fiction,594.51,356.706,3.99,615,Simon and Schuster Digital Sales Inc,4023,English
550,2012.0,Winter of the World,Ken Follett,English,Excellent,4.29,71971,nonfiction,1488.51,893.106,9.99,616,HarperCollins Publishers,4023,English
551,2013.0,"è‰²å½©ã‚’æŒãŸãªã„å¤šå´Žã¤ãã‚‹ã¨ã€å½¼ã®å·¡ç¤¼ã®å¹´ [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]","Haruki Murakami, Philip Gabriel",English,Intermediate,3.82,67873,fiction,594.51,0.0,3.99,616,"Amazon Digital Services,  Inc.",4023,English
552,1999.0,Lucky,Alice Sebold,English,Intermediate,3.77,77462,children,1427.42,856.452,9.58,617,"Amazon Digital Services,  Inc.",4023,English
553,1927.0,To The Lighthouse ,Virginia Woolf,English,Intermediate,3.76,83066,popular_fiction,1144.04,686.424,7.73,619,Macmillan,3996,English
554,2004.0,Five Point Someone: What Not to Do at IIT,Chetan Bhagat,English,Novice,3.43,67438,popular_fiction,146.52,0.0,0.99,620,"Amazon Digital Services,  Inc.",3996,English
555,1993.0,Guilty Pleasures,Laurell K. Hamilton,English,Excellent,4.02,104252,popular_fiction,442.52,0.0,2.99,622,"Amazon Digital Services,  Inc.",3996,English
556,2002.0,The Messenger,Markus Zusak,English,Excellent,4.09,93119,popular_fiction,145.53,87.318,0.99,624,"Amazon Digital Services,  Inc.",3969,English
557,1874.0,Far from the Madding Crowd,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",English,Intermediate,3.92,87427,popular_fiction,1997.73,1198.638,13.59,624,HarperCollins Publishers,3969,English
